東京駅,35.681382,139.766084
有楽町駅,35.675069,139.763328
新橋駅,35.665498,139.75964
浜松町駅,35.655646,139.756749
田町駅,35.645736,139.747575
品川駅,35.630152,139.74044
大崎駅,35.6197,139.728553
五反田駅,35.626446,139.723444
目黒駅,35.633998,139.715828
恵比寿駅,35.64669,139.710106
渋谷駅,35.658517,139.701334
原宿駅,35.670168,139.702687
代々木駅,35.683061,139.702042
新宿駅,35.690921,139.700258
新大久保駅,35.701306,139.700044
高田馬場駅,35.712285,139.703782
目白駅,35.721204,139.706587
池袋駅,35.728926,139.71038
大塚駅,35.73159,139.729329
巣鴨駅,35.733492,139.739345
駒込駅,35.736489,139.746875
田端駅,35.738062,139.76086
西日暮里駅,35.732135,139.766787
日暮里駅,35.727772,139.770987
鴬谷駅,35.720495,139.778837
上野駅,35.713768,139.777254
御徒町駅,35.707893,139.774332
秋葉原駅,35.698683,139.774219
神田駅,35.69169,139.770883
